Number of nodes,Average of 3 runs
10,368690.6666666667
20,736877.3333333334
30,1105704.0
40,1473714.6666666667
50,1842970.6666666667
60,2211850.6666666665
70,2579016.0
80,2946064.0
90,3316677.3333333335
100,3684413.3333333335
